Date,Direction,Coin,Futures,Transaction amount,Average Price,Trading volume,Realized P/L,NetProfits,Fee
2025-11-21 15:42:05,Open short,USDT,SOLUSDT,0.3,129.317,38.7951,0,0,-0.00775902
2025-11-21 15:36:57,Open short,USDT,BTCUSDT,0.0001,84960.2,8.49602,0,0,-0.001699204
2025-11-21 15:16:11,Close short,USDT,SOLUSDT,0.3,126.33,37.899,0.4875,0.4647606,-0.0227394
2025-11-21 14:17:52,Open short,USDT,SOLUSDT,0.3,127.955,38.3865,0,0,-0.0076773
2025-11-21 13:45:06,Close long,USDT,BTCUSDT,0.0001,83146.4,8.31464,0.11474,0.109751216,-0.004988784
2025-11-21 13:38:14,Open long,USDT,ADAUSDT,72,0.4011,28.8792,0,0,-0.00577584
2025-11-21 13:37:08,Open long,USDT,BTCUSDT,0.0001,81999,8.1999,0,0,-0.00163998
2025-11-21 13:30:27,Close long,USDT,SOLUSDT,0.3,123.532,37.0596,0.4707,0.44846424,-0.02223576
2025-11-21 13:24:22,Open long,USDT,SOLUSDT,0.3,121.963,36.5889,0,0,-0.00731778
2025-11-21 12:38:23,Close long,USDT,ADAUSDT,80,0.4028,32.224,-0.256,-0.2753344,-0.0193344
2025-11-21 12:15:18,Open long,USDT,ADAUSDT,80,0.406,32.48,0,0,-0.006496
2025-11-21 12:00:32,Close long,USDT,ADAUSDT,81,0.4018,32.5458,-0.243,-0.26252748,-0.01952748
2025-11-21 11:31:47,Open long,USDT,ADAUSDT,81,0.4048,32.7888,0,0,-0.00655776
2025-11-21 11:16:05,Close long,USDT,ADAUSDT,82,0.4019,32.9558,-0.246,-0.26577348,-0.01977348
2025-11-21 11:10:15,Open long,USDT,ADAUSDT,82,0.4049,33.2018,0,0,-0.00664036
2025-11-21 10:52:27,Close long,USDT,ADAUSDT,83,0.4024,33.3992,-0.249,-0.26903952,-0.02003952
2025-11-21 10:48:03,Open long,USDT,ADAUSDT,83,0.4054,33.6482,0,0,-0.00672964
2025-11-21 10:40:13,Close long,USDT,ADAUSDT,82,0.404,33.128,-0.246,-0.2658768,-0.0198768
2025-11-21 10:28:58,Close long,USDT,BTCUSDT,0.0001,83036,8.3036,-0.07769,-0.08267216,-0.00498216
2025-11-21 09:06:10,Close long,USDT,SOLUSDT,0.3,128.473,38.5419,0.5109,0.48777486,-0.02312514
2025-11-21 09:03:16,Open long,USDT,BTCUSDT,0.0001,83812.9,8.38129,0,0,-0.001676258
2025-11-21 08:48:27,Open long,USDT,ADAUSDT,82,0.407,33.374,0,0,-0.0066748
2025-11-21 08:48:21,Open long,USDT,SOLUSDT,0.3,126.77,38.031,0,0,-0.0076062
